trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1157070,45,2,"KSU-Kennesaw Campus",,0,2950707,shp-45-01,0,0
1164010,15,4,"Marietta Transfer Center",,1,2845301,shp-15-51,0,0
1165020,RAPID,1,"KSU-Kennesaw Campus limited stops",,1,2940302,shp-Rapid-52,0,0
1166070,RAPID,2,"Arts Center Station with limited stops",,0,2950007,shp-Rapid-01,0,0
1170090,RAPID,3,"Arts Center Station with limited stops",,0,2977209,shp-Rapid-01,0,0
1171090,30,3,"Marietta Transfer Center",,1,2975309,shp-30-52,0,0
1176020,30,1,"Hamilton E. Holmes Station",,0,2934202,shp-30-01,0,0
119090,20,3,"Cumberland Transfer Center",,0,2974709,shp-20-03,0,0
1197020,RAPID,1,"Arts Center Station with limited stops",,0,2938102,shp-Rapid-01,0,0
1199090,30,3,"Hamilton E. Holmes Station",,0,2975009,shp-30-01,0,0
1203020,10,1,"Marietta Transfer Center",,1,2934002,shp-10-52,0,0
1204020,10,1,"Marietta Transfer Center",,1,2934402,shp-10-52,0,0
1206090,RAPID,3,"Arts Center Station with limited stops",,0,2976809,shp-Rapid-01,0,0
1214010,25,4,"Hamilton E. Holmes Station",,0,2844901,shp-25-51,0,0
1221010,20,4,"Marietta Transfer Center",,1,2844701,shp-20-54,0,0
1229070,25,2,"Hamilton E. Holmes Station",,0,2947907,shp-25-51,0,0
1247020,45,1,"KSU-Kennesaw Campus",,0,2943002,shp-45-01,0,0
1247090,45,3,"KSU-Kennesaw Campus",,0,2981809,shp-45-01,0,0
1250090,45,3,"Marietta Transfer Center",,1,2976609,shp-45-51,0,0
128020,RAPID,1,"Arts Center Station with limited stops",,0,2938402,shp-Rapid-01,0,0
135070,25,2,"Cumberland Transfer Center",,1,2947907,shp-25-01,0,0
141020,20,1,"Marietta Transfer Center",,1,2935702,shp-20-54,0,0
145010,25,4,"Hamilton E. Holmes Station",,0,2870201,shp-25-51,0,0
160090,20,3,"Cumberland Transfer Center",,0,2974709,shp-20-03,0,0
16020,BLUE,1,"Circ Blue - Battery/Cumberland Transfer Center",,1,2942602,shp-Blue-02,0,0
164090,20,3,"Cumberland Transfer Center",,0,2973709,shp-20-03,0,0
174090,RAPID,3,"KSU-Kennesaw Campus limited stops",,1,2977409,shp-Rapid-52,0,0
179020,50,1,"Cumberland Transfer Center",,0,2935102,shp-50-01,0,0
180090,20,3,"Cumberland Transfer Center",,0,2973709,shp-20-03,0,0
199020,30,1,"Hamilton E. Holmes Station",,0,2935902,shp-30-01,0,0
2020,15,1,"Marietta Transfer Center",,1,2936302,shp-15-51,0,0
210010,15,4,"Cumberland Transfer Center",,0,2845301,shp-15-01,0,0
1005070,10,2,"Marietta Transfer Center",,1,2949607,shp-10-52,0,0
1010090,45,3,"Marietta Transfer Center",,1,2981809,shp-45-51,0,0
1025020,20,1,"Marietta Transfer Center",,1,2935702,shp-20-54,0,0
1029020,40,1,"Marietta Transfer Center",,1,2937702,shp-40-51,0,0
1030070,40,2,"KSU-Kennesaw Campus",,0,2950607,shp-40-01,0,0
1037020,45,1,"Marietta Transfer Center",,1,2937802,shp-45-51,0,0
1045010,45,4,"Marietta Transfer Center",,1,2845901,shp-45-51,0,0
1048070,GREEN,2,"Circulator Green - Battery/Windy Hill",,0,2951207,shp-Green-05,0,0
1049070,GREEN,2,"Circulator Green - Battery/Windy Hill",,0,2951007,shp-Green-05,0,0
1052010,15,4,"Cumberland Transfer Center",,0,2844601,shp-15-01,0,0
1055020,25,1,"Cumberland Transfer Center",,1,2943702,shp-25-01,0,0
1061090,30,3,"Hamilton E. Holmes Station",,0,2973109,shp-30-01,0,0
1065090,10,3,"Arts Center Station",,0,2981609,shp-10-03,0,0
1070,GREEN,2,"Circulator Green - Battery/Windy Hill",,0,2951007,shp-Green-03,0,0
1076020,15,1,"Cumberland Transfer Center",,0,2935002,shp-15-01,0,0
1107020,40,1,"KSU-Kennesaw Campus",,0,2937902,shp-40-01,0,0
1109070,50,2,"Marietta Transfer Center",,1,2948507,shp-50-51,0,0
1119020,45,1,"KSU-Kennesaw Campus",,0,2943002,shp-45-01,0,0
1124090,30,3,"Hamilton E. Holmes Station",,0,2975309,shp-30-01,0,0
1144090,50,3,"Marietta Transfer Center",,1,2974109,shp-50-51,0,0
1155010,20,4,"Cumberland Transfer Center",,0,2845201,shp-20-03,0,0
1161010,GREEN,4,"Circulator Green - Battery/Windy Hill",,0,2846301,shp-Green-05,0,0
1172010,10,4,"Arts Center Station",,0,2844801,shp-10-03,0,0
1174010,45,4,"Marietta Transfer Center",,1,2845801,shp-45-51,0,0
1191010,BLUE,4,"Circ Blue - Battery/Cumberland Transfer Center",,1,2846401,shp-Blue-02,0,0
1196010,45,4,"KSU-Kennesaw Campus",,0,2845801,shp-45-01,0,0
1202090,25,3,"Hamilton E. Holmes Station",,0,2981909,shp-25-51,0,0
1205020,30,1,"Hamilton E. Holmes Station",,0,2936602,shp-30-01,0,0
1213020,30,1,"Marietta Transfer Center",,1,2942702,shp-30-52,0,0
1226090,10,3,"Marietta Transfer Center",,1,2973609,shp-10-52,0,0
1231010,30,4,"Hamilton E. Holmes Station",,0,2845001,shp-30-01,0,0
126090,20,3,"Cumberland Transfer Center",,0,2973709,shp-20-03,0,0
130020,45,1,"Marietta Transfer Center",,1,2937802,shp-45-51,0,0
131090,20,3,"Marietta Transfer Center",,1,2973709,shp-20-54,0,0
14010,50,4,"Cumberland Transfer Center",,0,2844501,shp-50-01,0,0
1002090,40,3,"KSU-Kennesaw Campus",,0,2976709,shp-40-01,0,0
1009090,20,3,"Cumberland Transfer Center",,0,2973809,shp-20-03,0,0
1025090,20,3,"Marietta Transfer Center",,1,2974709,shp-20-54,0,0
1041090,15,3,"Marietta Transfer Center",,1,2975209,shp-15-51,0,0
1042010,50,4,"Marietta Transfer Center",,1,2844501,shp-50-51,0,0
1047020,15,1,"Marietta Transfer Center",,1,2935402,shp-15-51,0,0
1058070,10,2,"Arts Center Station",,0,2949307,shp-10-03,0,0
1067070,30,2,"Marietta Transfer Center",,1,2948107,shp-30-52,0,0
1071090,RAPID,3,"Arts Center Station with limited stops",,0,2977009,shp-Rapid-01,0,0
1074070,10,2,"Marietta Transfer Center",,1,2949307,shp-10-52,0,0
1078090,10,3,"Arts Center Station",,0,2974509,shp-10-03,0,0
1079070,20,2,"Cumberland Transfer Center",,0,2948607,shp-20-03,0,0
1085090,BLUE,3,"Circ Blue - Battery/Cumberland Transfer Center",,1,2982309,shp-Blue-02,0,0
1087090,40,3,"Marietta Transfer Center",,1,2976709,shp-40-51,0,0
1090020,RAPID,1,"Arts Center Station with limited stops",,0,2938102,shp-Rapid-01,0,0
1090090,RAPID,3,"Arts Center Station with limited stops",,0,2976909,shp-Rapid-01,0,0
109020,40,1,"KSU-Kennesaw Campus",,0,2937902,shp-40-01,0,0
1094090,30,3,"Hamilton E. Holmes Station",,0,2973409,shp-30-01,0,0
1095090,RAPID,3,"Arts Center Station with limited stops",,0,2977209,shp-Rapid-01,0,0
1100020,30,1,"Hamilton E. Holmes Station",,0,2942702,shp-30-01,0,0
1102020,RAPID,1,"KSU-Kennesaw Campus limited stops",,1,2938402,shp-Rapid-52,0,0
1104010,40,4,"KSU-Kennesaw Campus",,0,2845601,shp-40-01,0,0
1106090,50,3,"Marietta Transfer Center",,1,2974809,shp-50-51,0,0
111010,RAPID,4,"Marietta Transfer Center limited stops",,1,2846201,shp-Rapid-51,0,0
1113020,20,1,"Marietta Transfer Center",,1,2935702,shp-20-54,0,0
1120020,50,1,"Marietta Transfer Center",,1,2935602,shp-50-51,0,0
1123020,RAPID,1,"KSU-Kennesaw Campus limited stops",,1,2940302,shp-Rapid-52,0,0
1139020,30,1,"Marietta Transfer Center",,1,2936402,shp-30-52,0,0
114020,25,1,"Hamilton E. Holmes Station",,0,2943602,shp-25-51,0,0
115070,30,2,"Hamilton E. Holmes Station",,0,2949507,shp-30-01,0,0
1152070,50,2,"Cumberland Transfer Center",,0,2948507,shp-50-01,0,0
1160010,30,4,"Hamilton E. Holmes Station",,0,2844401,shp-30-01,0,0
1162070,50,2,"Marietta Transfer Center",,1,2949107,shp-50-51,0,0
1183020,20,1,"Marietta Transfer Center",,1,2942902,shp-20-54,0,0
1002020,40,1,"KSU-Kennesaw Campus",,0,2937902,shp-40-01,0,0
1012010,RAPID,4,"KSU-Kennesaw Campus limited stops",,1,2846201,shp-Rapid-52,0,0
1015020,30,1,"Hamilton E. Holmes Station",,0,2943002,shp-30-01,0,0
1016090,15,3,"Cumberland Transfer Center",,0,2975209,shp-15-01,0,0
1020020,10,1,"Marietta Transfer Center",,1,2934102,shp-10-52,0,0
1023010,10,4,"Arts Center Station",,0,2844801,shp-10-03,0,0
1026020,GREEN,1,"Circulator Green - Battery/Windy Hill",,0,2943402,shp-Green-05,0,0
1032020,45,1,"KSU-Kennesaw Campus",,0,2937802,shp-45-01,0,0
1046020,10,1,"Arts Center Station",,0,2935502,shp-10-03,0,0
1050090,RAPID,3,"Arts Center Station with limited stops",,0,2976809,shp-Rapid-01,0,0
1053070,10,2,"Marietta Transfer Center",,1,2948407,shp-10-52,0,0
1055090,25,3,"Cumberland Transfer Center",,1,2982509,shp-25-01,0,0
1057090,45,3,"KSU-Kennesaw Campus",,0,2981809,shp-45-01,0,0
1069010,50,4,"Cumberland Transfer Center",,0,2845101,shp-50-01,0,0
1075070,30,2,"Marietta Transfer Center",,1,2948907,shp-30-52,0,0
1080020,30,1,"Marietta Transfer Center",,1,2936702,shp-30-52,0,0
1081070,45,2,"KSU-Kennesaw Campus",,0,2950807,shp-45-01,0,0
1084020,30,1,"Marietta Transfer Center",,1,2942702,shp-30-52,0,0
1088090,RAPID,3,"KSU-Kennesaw Campus limited stops",,1,2977009,shp-Rapid-52,0,0
110090,50,3,"Marietta Transfer Center",,1,2974809,shp-50-51,0,0
11010,20,4,"Cumberland Transfer Center",,0,2844701,shp-20-03,0,0
1105010,25,4,"Cumberland Transfer Center",,1,2870101,shp-25-01,0,0
1110070,RAPID,2,"Arts Center Station with limited stops",,0,2950207,shp-Rapid-01,0,0
1113090,20,3,"Marietta Transfer Center",,1,2974709,shp-20-54,0,0
1116070,RAPID,2,"Arts Center Station with limited stops",,0,2950107,shp-Rapid-01,0,0
1120090,50,3,"Marietta Transfer Center",,1,2974609,shp-50-51,0,0
1121010,30,4,"Hamilton E. Holmes Station",,0,2845001,shp-30-01,0,0
1128090,30,3,"Marietta Transfer Center",,1,2973409,shp-30-52,0,0
1131090,30,3,"Hamilton E. Holmes Station",,0,2975909,shp-30-01,0,0
1135090,30,3,"Marietta Transfer Center",,1,2973209,shp-30-52,0,0
1136010,30,4,"Hamilton E. Holmes Station",,0,2844401,shp-30-01,0,0
1139090,30,3,"Marietta Transfer Center",,1,2975309,shp-30-52,0,0
1142010,40,4,"KSU-Kennesaw Campus",,0,2845701,shp-40-01,0,0
1145090,20,3,"Cumberland Transfer Center",,0,2973809,shp-20-03,0,0
1159090,50,3,"Marietta Transfer Center",,1,2974109,shp-50-51,0,0
1167020,15,1,"Cumberland Transfer Center",,0,2936302,shp-15-01,0,0
1167090,15,3,"Cumberland Transfer Center",,0,2975209,shp-15-01,0,0
1168070,45,2,"Marietta Transfer Center",,1,2950707,shp-45-51,0,0
1169090,30,3,"Hamilton E. Holmes Station",,0,2981609,shp-30-01,0,0
1180020,20,1,"Cumberland Transfer Center",,0,2934802,shp-20-03,0,0
1180090,20,3,"Cumberland Transfer Center",,0,2973809,shp-20-03,0,0
1182020,10,1,"Marietta Transfer Center",,1,2935502,shp-10-52,0,0
1182090,10,3,"Marietta Transfer Center",,1,2974509,shp-10-52,0,0
1192020,50,1,"Cumberland Transfer Center",,0,2936202,shp-50-01,0,0
1193090,15,3,"Marietta Transfer Center",,1,2975209,shp-15-51,0,0
1198020,BLUE,1,"Circ Blue - Battery/Cumberland Transfer Center",,1,2943502,shp-Blue-02,0,0
1212090,RAPID,3,"Arts Center Station with limited stops",,0,2977309,shp-Rapid-01,0,0
1220020,10,1,"Marietta Transfer Center",,1,2934002,shp-10-52,0,0
1222090,30,3,"Marietta Transfer Center",,1,2975009,shp-30-52,0,0
1223020,40,1,"KSU-Kennesaw Campus",,0,2937902,shp-40-01,0,0
1223090,40,3,"KSU-Kennesaw Campus",,0,2976709,shp-40-01,0,0
1227010,GREEN,4,"Circulator Green - Battery/Windy Hill",,0,2846301,shp-Green-05,0,0
1232090,30,3,"Marietta Transfer Center",,1,2975709,shp-30-52,0,0
124070,20,2,"Marietta Transfer Center",,1,2948607,shp-20-54,0,0
1245020,15,1,"Marietta Transfer Center",,1,2935402,shp-15-51,0,0
1245090,15,3,"Marietta Transfer Center",,1,2974409,shp-15-51,0,0
127010,30,4,"Marietta Transfer Center",,1,2844201,shp-30-52,0,0
132020,15,1,"Cumberland Transfer Center",,0,2936502,shp-15-01,0,0
132090,15,3,"Cumberland Transfer Center",,0,2975409,shp-15-01,0,0
142090,15,3,"Cumberland Transfer Center",,0,2974409,shp-15-01,0,0
157070,30,2,"Hamilton E. Holmes Station",,0,2947607,shp-30-01,0,0
166070,10,2,"Arts Center Station",,0,2948407,shp-10-03,0,0
170020,101,1,"Marietta Transfer Center",,1,2941502,shp-101-51,0,0
171020,45,1,"Marietta Transfer Center",,1,2943002,shp-45-51,0,0
175020,30,1,"Hamilton E. Holmes Station",,0,2942702,shp-30-01,0,0
179090,50,3,"Cumberland Transfer Center",,0,2974109,shp-50-01,0,0
